,Principal Component 1,Principal Component 2
2024/9/28,6.229052819,0.100839578
2024/6/29,5.396861566,-0.505295202
2024/3/30,3.818401515,-0.848552627
2023/12/30,4.711176649,0.280047854
2023/9/30,4.26767619,-0.626875398
2023/7/1,5.139519082,0.149581293
2023/4/1,3.978696147,-1.200891567
2022/12/31,2.770602342,-2.169108452
2022/9/24,3.847334178,-1.65607675
2022/6/25,3.346656679,-1.772578421
2022/3/26,4.544152628,-0.4060429
2021/12/25,4.369629141,0.094332043
2021/9/25,3.36479778,0.128050064
2021/6/26,2.89863115,0.198811059
2021/3/27,2.311717494,1.266590809
2020/12/26,3.351084801,1.913905753
2020/9/26,1.81668902,3.438736603
2020/6/27,-0.205439021,3.055516119
2020/3/28,-2.157938106,1.742878309
2019/12/28,-1.366377224,3.35069039
2019/9/28,-2.804360956,1.460593766
2019/6/29,-3.267353235,1.43444352
2019/3/30,-3.115461545,0.468444042
2018/12/29,-3.752478349,-0.459376567
2018/9/29,-1.718023087,0.257374095
2018/6/30,-2.618870149,0.435413528
2018/3/31,-2.264551025,0.426659299
2017/12/30,-1.531211212,-0.089403976
2017/9/30,-2.344263284,0.092170727
2017/7/1,-3.015909299,1.086896981
2017/4/1,-3.022202488,0.631116197
2016/12/31,-3.144775419,-1.138109856
2016/9/24,-3.928797597,-0.206602606
2016/6/25,-4.597413017,-1.039511186
2016/3/26,-3.827573817,-1.166211739
2015/12/26,-2.971160577,-2.753191019
2015/9/26,-3.04315562,-1.744641931
2015/6/27,-2.542121944,-1.389795294
2015/3/28,-2.585636076,-0.839016552
2014/12/27,-3.051183162,-1.066725377
2014/9/27,-3.286422973,-0.935084608
